bikes,bike_stands,temp_c,feelslike_c,wind_kph,humidity,precip_mm,gust_kph,wind_degree,pressure_mb,cloud,uv
20,11,4.7,0.6,20.5,90.04,0.0,38.2,284,1006.8,27.6,1
25,6,5.9,1.9,22.5,87.38,0.001,36.7,284,1007.2,17.2,2
29,2,6.8,3.0,23.6,82.61,0.0,41.0,291,1007.3,17.2,0
28,3,6.9,2.9,25.4,82.02,0.0,42.1,287,1007.7,17.1,1
16,15,6.5,2.7,23.1,83.16,0.0,39.2,284,1008.4,26.3,0
4,27,5.5,1.8,19.2,84.13,0.0,33.8,275,1009.4,17.4,0
4,28,4.3,0.2,19.8,88.76,0.0,32.8,275,1010.3,17.2,0
1,30,3.9,0.0,17.9,88.91,0.0,33.5,265,1010.8,17.2,0
2,29,3.6,-0.4,17.9,89.71,0.0,33.1,262,1011.6,17.2,0
2,29,3.1,-1.3,19.6,92.88,0.0,32.8,274,1012.4,19.7,0
2,29,2.9,-1.4,19.3,93.3,0.0,34.2,266,1012.9,17.2,0
1,30,2.7,-1.5,17.8,93.63,0.0,34.2,262,1013.6,24.9,0
4,28,2.1,-2.1,17.0,92.07,0.0,32.8,264,1013.9,19.7,0
4,28,2.0,-2.3,17.3,93.17,0.001,30.6,262,1014.5,17.2,0
1,30,1.9,-1.9,13.8,93.25,0.0,32.0,257,1015.3,17.2,0
1,30,2.0,-2.2,16.9,89.95,0.0,31.3,259,1015.6,17.2,0
1,30,1.5,-2.4,14.4,92.54,0.0,30.2,264,1016.4,17.2,0
1,30,1.2,-2.8,14.7,94.82,0.0,30.2,267,1016.6,17.2,0
1,30,1.1,-3.4,17.5,93.66,0.0,29.2,263,1017.3,17.2,0
3,29,0.9,-3.5,16.7,94.79,0.0,28.8,264,1017.6,35.9,0
5,26,1.4,-3.0,16.7,95.6,0.0,28.8,265,1018.5,17.3,0
8,23,1.0,-3.7,18.2,93.66,0.0,27.7,272,1019.4,17.2,0
11,20,0.9,-3.9,18.2,94.09,0.0,27.0,275,1020.4,28.8,0
14,18,1.7,-2.7,17.9,93.43,0.0,27.7,272,1020.9,17.2,0
17,14,2.4,-1.7,16.8,93.11,0.0,27.4,275,1021.5,17.2,1
18,13,3.9,0.1,17.5,88.19,0.002,29.9,277,1021.6,17.2,2
19,13,5.0,1.6,16.8,86.99,0.0,31.0,284,1021.6,17.2,1
19,12,5.7,2.4,16.5,84.29,0.0,31.0,284,1021.6,17.2,0
22,10,5.8,3.1,12.7,85.75,0.0,29.9,265,1022.5,17.2,0
26,6,4.7,2.4,10.0,87.65,0.0,27.0,258,1023.3,17.2,0
29,2,2.5,-1.4,15.5,90.46,0.0,24.1,269,1023.7,17.2,0
25,6,1.8,-2.7,18.2,94.19,0.0,23.0,282,1024.3,17.2,0
24,8,1.4,-2.4,13.7,94.99,0.0,22.7,272,1024.5,17.2,0
22,9,1.5,-1.2,8.7,96.34,0.0,21.2,245,1025.4,17.2,0
24,8,1.2,-2.5,12.5,98.6,0.0,20.5,275,1025.5,46.1,0
