,number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position.lat,position.lng
84,75,dublin,JAMES STREET,James Street,False,False,40,25,15,OPEN,1709211962000,53.343456,-6.287409
85,111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,False,False,40,39,1,OPEN,1709211696000,53.356717,-6.256359
86,26,dublin,MERRION SQUARE WEST,Merrion Square West,True,False,20,5,15,OPEN,1709212100000,53.339764,-6.251988
87,65,dublin,CONVENTION CENTRE,Convention Centre,True,False,40,19,21,OPEN,1709211980000,53.34744,-6.238523
88,15,dublin,HARDWICKE STREET,Hardwicke Street,False,False,16,15,1,OPEN,1709211929000,53.355473,-6.264423
89,86,dublin,PARKGATE STREET,Parkgate Street,False,False,38,38,0,OPEN,1709211743000,53.347972,-6.291804
90,35,dublin,SMITHFIELD,Smithfield,False,False,30,27,3,OPEN,1709212062000,53.347692,-6.278214
91,10,dublin,DAME STREET,Dame Street,True,False,16,8,7,OPEN,1709212014000,53.344007,-6.266802
92,100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),False,False,25,23,2,OPEN,1709212140000,53.347106,-6.292041
93,24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,False,False,20,20,0,OPEN,1709211864000,53.352149,-6.260533
94,64,dublin,SANDWITH STREET,Sandwith Street,False,False,40,16,24,OPEN,1709211940000,53.345203,-6.247163
95,109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,False,False,29,6,23,OPEN,1709212054000,53.353331,-6.249319
96,85,dublin,ROTHE ABBEY,Rothe Abbey,False,False,35,18,17,OPEN,1709212048000,53.338776,-6.30395
97,107,dublin,CHARLEVILLE ROAD,Charleville Road,False,False,40,26,14,OPEN,1709211755000,53.359157,-6.281866
98,33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,True,False,23,16,7,OPEN,1709212001000,53.349013,-6.260311
99,44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,False,False,30,30,0,OPEN,1709211876000,53.358437,-6.260641
100,89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,False,False,40,28,12,OPEN,1709211883000,53.335211,-6.2509
101,57,dublin,GRATTAN STREET,Grattan Street,False,False,23,12,11,OPEN,1709211729000,53.339629,-6.243778
102,80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),False,False,40,27,13,OPEN,1709211926000,53.341359,-6.292951
103,41,dublin,HARCOURT TERRACE,Harcourt Terrace,False,False,20,20,0,OPEN,1709211681000,53.332763,-6.257942
104,3,dublin,BOLTON STREET,Bolton Street,False,False,20,0,20,OPEN,1709211834000,53.351182,-6.269859
105,40,dublin,JERVIS STREET,Jervis Street,False,False,21,4,17,OPEN,1709212120000,53.3483,-6.266651
106,29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,False,False,29,23,6,OPEN,1709211913000,53.346057,-6.268001
107,103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),False,False,40,23,17,OPEN,1709211806000,53.354663,-6.278681
108,28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,False,False,30,21,9,OPEN,1709212127000,53.356299,-6.258586
109,39,dublin,WILTON TERRACE,Wilton Terrace,False,False,20,17,3,OPEN,1709212019000,53.332383,-6.252717
110,83,dublin,EMMET ROAD,Emmet Road,False,False,40,16,24,OPEN,1709212096000,53.340714,-6.308191
111,92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),False,False,40,40,0,OPEN,1709211969000,53.347802,-6.292432
112,21,dublin,LEINSTER STREET SOUTH,Leinster Street South,False,False,30,1,29,OPEN,1709211937000,53.34218,-6.254485
113,88,dublin,BLACKHALL PLACE,Blackhall Place,False,False,30,20,10,OPEN,1709212022000,53.3488,-6.281637
