name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
dublin,2024-01-26,8.1,3.1,5.9,4.5,-1.7,1.8,2.1,76.5,3.004,100,4.17,rain,0,0,77.3,40.5,236.5,1023.1,36.6,20.4,33.6,2.9,2,,2024-01-26T08:19:51,2024-01-26T16:55:42,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-01-27,10.7,6.1,8.5,10.7,2.5,5.4,4.4,75.1,0,0,0,,0,0,63,31.3,199.1,1023.6,83.4,19.5,22,1.8,1,,2024-01-27T08:18:23,2024-01-27T16:57:36,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-01-28,12.8,7,10.6,12.8,4.2,9.9,7.1,78.9,0.004,100,4.17,rain,0,0,74.8,43.4,201.4,1012,87.5,16.3,34.5,2.9,2,,2024-01-28T08:16:54,2024-01-28T16:59:30,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-01-29,6.8,2,4.6,4.7,-2.5,1.2,3,89.7,11.244,100,16.67,rain,0,0,35.6,20.2,345,1020.6,86.4,12.1,6.6,0.6,0,,2024-01-29T08:15:22,2024-01-29T17:01:25,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,AMOUK11,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-01-30,7.8,-0.2,3.2,5.1,-4.8,-0.5,0.2,81.1,0.001,100,4.17,rain,0,0,34.2,20.2,243.4,1028.8,38.3,21.1,34.4,3,2,,2024-01-30T08:13:48,2024-01-30T17:03:21,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-01-31,10.8,3.9,7,10.8,0.4,3.6,3.7,79.8,1.536,100,4.17,rain,0,0,66.6,39.6,227.3,1023.2,79.7,17.5,23.2,1.9,2,,2024-01-31T08:12:12,2024-01-31T17:05:17,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-01,9.8,2.9,5.9,6.8,-1.3,2.5,2.9,81.2,0.001,100,4.17,rain,0,0,65.2,25.3,236.1,1031.1,74.7,16.7,37.3,3.2,2,,2024-02-01T08:10:33,2024-02-01T17:07:14,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-02,12.6,9.8,11.3,12.6,6.8,10.6,9.3,87.6,0.078,100,12.5,rain,0,0,64.1,30.4,242.3,1025.2,90.2,16,28.5,2.5,2,,2024-02-02T08:08:53,2024-02-02T17:09:11,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-03,11.1,7.8,9.2,11.1,4.5,7.1,7.8,91.3,0.229,100,12.5,rain,0,0,54.4,32.2,260.1,1025,88.9,14.5,16.4,1.4,1,,2024-02-03T08:07:10,2024-02-03T17:11:09,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-04,13.1,7.9,10.6,13.1,4.5,9.6,7.8,83.4,0.006,100,8.33,rain,0,0,70.6,40.3,250,1020.8,90.8,16.7,21.8,2,2,,2024-02-04T08:05:26,2024-02-04T17:13:06,0.82,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
